name,locations
"southern seas colibri","Saint Mocianne's Arboretum"
"southwestern wind","Newvoid"
"spaeshell of the Red","The Isle of Zekki;Hells' Lid (Landmark)"
"spandule","Middle Floors;Aetherology End"
"spangencrab","The Val River Swale"
"spanner-rook","IC-01 Control"
"spare body","Tomb of King Galvanth the Dominator (Hard)"
"spare lung","The Tam-Tara Deepcroft (Hard) (Zone)"
"spare soul","The Tam-Tara Deepcroft (Hard) (Zone)"
"spare will","The Tam-Tara Deepcroft (Hard) (Zone)"
"spawning adamantoise","Rootslake"
"spawning lesser apollyon","The Imperious"
"spawning megalocrab","Three-malm Bend"
"spawning ophion","Philomythes Notos"
"spawning orobon","The Unholy Heir"
"spawning tatsunoko","Sakazuki"
"spawning tolba","The Fields of Amber"
"specter","The Song of Kings"
"spectral necromancer","Summer Ballroom"
"speedreader","School of Fantastics"
"spelaean slug","Sastasha (Hard)"
"Sphatika","Thavnair"
"sphene doblyn","Camp Bluefog"
"sphinx","The Flagship"
"spider","Fuel Chamber"
"spine duster","Middle Floors;Aetherology End;Convocation House"
"spinner-rick","Alpha Quadrant"
"spinner-rook","The Binding Coil of Bahamut - Turn 4"
"spiny plume","The Howling Eye (Zone)"
"spirit flame","The Temple of the Fist (Zone)"
"spirit gana","Thok ast Thok;Carteneau Flats: Borderland Ruins"
"Spiteful","Spriggan Dig"
"Spitfire","Black Brush"
"spitting spider","The Queen's Room"
"spotted mudpuppy","Daniffen Pass"
"spotted spider","Yx'Anpa Mul;The K'mul Astropolis"
"Spotter","Bronze Lake"
"sprawling sankchinni","Telmatology (Hard)"
"spriggan","The Standing Corses"
"spriggan copper carrier","Copperbell Mines"
"spriggan copper copper","Copperbell Mines"
"spriggan crier","The Blue Sands"
"spriggan doorkeeper","The Lower Reaches"
"spriggan flametender","Nanawa Mines"
"spriggan gemcutter","Where Hearts Leap"
"spriggan icecutter","Snowcloak (Zone)"
"spriggan miner","Shaft B1 (Hard)"
"spriggan pankratiast","Flurry"
"spriggan quencher","The Crying Dark"
"spriggan sifter","The Screaming Dark"
"spriggan tumbler","Snowcloak (Zone)"
"spry gyuki","Ten-thousand-year Pine"
"spurned soul","Alder Springs"
"squib","Squib Sands"
"Squonk","The Sea of Clouds"
"St. Daniffen's fire","The Ogre's Belly"
"Staff of Eldering","Syrcus Tower"
"staff-waving training partner","The Fold"
"stagnant water sprite","Jadeite Thick;Dragonhead"
"stale bubble","Upper La Noscea"
"stalker ziz","Klauser's Peace"
"stampeding rhino beetle","The Glittering Basin"
"star marmot","Spineless Basin;Hammerlea;Black Brush;Little Ala Mhigo"
"star shard","The Rebirth of Bardam the Brave"
"Starcrier","Yak T'el"
"starfall circle","Syrcus Tower"
"starkshadow amphiptere","Eil Tohm"
"starkshadow biast","Eil Tohm"
"starkshadow wyvern","Eil Tohm"
"starmite","The Perfumed Rise"
"starved seeker bat","Yesterland"
"stealthy poacher","Rootslake"
"steam bomb","Machinery Bay 67;The Burden of the Son"
"steam chakram","Machinery Bay 68;The Burden of the Son"
"steam gasket","The Burden of the Father;The Burden of the Son"
"steam pump","The Burden of the Father"
"steam regulator A","The Burden of the Father;The Burden of the Son"
"steam regulator B","The Burden of the Father;The Burden of the Son"
"steelquill tuco-tuco","Drybone"
"stegoceras","East Flamerock"
"stegodon","The West Val River Bank"
"stegotaur","Whitebrim Front"
"steinbock","Riversmeet"
"stellar amphiptere","Ostrakon Deka-okto"
"stellar brobinyak","Ostrakon Deka-okto"
"stellar chuluu","Onsal Hakair"
"stellar dragon","The Vitrified Fort"
"stellar shelled dragon","Ostrakon Deka-okto"
"stellar wyvern","Ostrakon Deka-okto"
"stench blossom","Azys Lla"
"steppe dhole","The Sea of Blades"
"steppe dzo","The Sea of Blades"
"steppe eagle","The Fall of Bardam the Boastful"
"steppe sheep","Bardam's Hunt"
"steppe yamaa","Bardam's Hunt"
"Steropes","Whitebrim"
"sticky web","The Thousand Maws of Toto-Rak"
"Stikflix Grumblytoss","Central Shroud"
"Stinging Sophie","East Shroud"
"stinging syrphid cloud","Drybone;Rootslake"
"stingray","The Caliban Gorge"
"stinkshell","Miyakabek'zu"
"Stolas","The Dravanian Hinterlands"
"stone brickman","Sil'dih Excavation Site;Blind Iron Mines;Bronze Lake;Bentbranch;Finder's Bluff"
"stone marionette","The Gier Hall"
"stone phoebad","Salvation"
"stone servant","The Cold Throne"
"stone shiver","Alder Springs"
"stonefall circle","Syrcus Tower"
"Stonespike Tanadd Gah","Sagolii Desert"
"storm biast","The Stone Vigil (Hard) (Zone)"
"storm sprite","Bloodshore"
"storming jabberwock","Main Street (Treno)"
"storming spirit","Main Street (Treno)"
"storming thunder spirit","Bridge Street (Treno);Main Street (Treno)"
"Storsie","Labyrinthos"
"straf doll","The Burden of the Father"
"Straightshot assassin","Black Brush"
"strange statue","Schism (Landmark)"
"stratogryph","The Southern Plateau"
"stray dodo","Cedarwood;Moraby Bay"
"stray gazelle","Miriam's Luck"
"stray karakul ewe","Dragonhead"
"stray karakul ram","Dragonhead"
"stray snipper","Northeastern Ice Needles"
"stray tomato","The Medial Circuit (Area)"
"striped ray","The Isle of Zekki"
"stronghold mylodon","Outer Training Grounds"
"stronghold tursus","Outer Walls"
"stumbling funguar","Lifemend Stump;Bentbranch;Nine Ivies"
"sturm doll","Machinery Bay 44;Electrocution Gallery"
"stylish tentacle","Blue Sky"
"subservient","A Door Unopened"
"succubus","Third Floor"
"Sugaar","Amh Araeng"
"Sugriva","Thavnair"
"Suikazura","Floor 60 (Heaven-on-High)"
"sulphur byrgen","The Duergar's Tewel (Landmark)"
"sulphuric slime","West Flamerock"
"Sum","The Azim Steppe"
"summoned dahak","The Shrine of the Goetic"
"summoned golem","Nald's Reflection"
"summoned haagenti","The Shrine of the Goetic"
"summoned succubus","The Shrine of the Goetic"
"summoning circle","Nald's Reflection"
"sun bat","Black Brush;The Clutch"
"sun bear","The Answering Quarter"
"sun juror","The Cameral Chamber"
"sun leech","Quickspill Delta"
"sun midge cloud","Hammerlea;Horizon's Edge"
"sunbeard","Yawtanane Grasslands"
"sundrake","Sagolii Desert"
"Suparna","The Howling Eye (Zone)"
"Supay","The Rak'tika Greatwood"
"supercharged levin","Recreation Zone"
"supporter","The Carrotorium"
"suppuration","Amdapor Keep (Hard) (Zone)"
"surf eft","Mudstop Watergush"
"surf elbst","Open Sea - Merchantman"
"surfclaw Sahagin","Open Sea - Merchantman"
"surfscale Sahagin","Open Sea - Merchantman"
"surfspine Sahagin","Open Sea - Merchantman"
"surftooth Sahagin","Open Sea - Merchantman"
"surftooth sentry","Open Sea - Merchantman;Open Sea - Pirate Vessel"
"surveillance module","Central Decks"
"Susano","The Pool of Tribute"
"suspicious astrologian","Limsa Lominsa Upper Decks"
"suspicious megalocrab","The Gods' Grip"
"Sutali Hueloc of the North Wind","Natalan"
"Svara","Steel Vigil"
"Svarog","Avalonia Fallen"
"swamp pugil","Mudstop Watergush"
"swampmonk","Miyakabek'zoma"
"swarming tarantula hawk","Landlord Colony"
"sweet echevore","Timh Gyeus"
"sweet song","The Ship Graveyard"
"sweet tooth goobbue","Empty Heart"
"swiftwater hakulaq","The Wishbone"
"Swindler","Machinery Bay 69;The Burden of the Son"
"swirling apa","The Central Circuit"
"swirling sprite","The Central Circuit"
"Switch gremlin","The Blackened Meadow"
"swollen djigga","The Bramble Patch"
"sworn shield","Banepool"
"sylph bonnet","Larkscall;Sylphlands"
"sylph pillow","South Shroud"
"sylpheed cackle","Sylphlands"
"sylpheed screech","Larkscall;Sylphlands"
"sylpheed sigh","Larkscall;The Seedbed"
"sylpheed snarl","Larkscall;Sylphlands"
"sylpheed wail","Sylphlands"
"Sylphlands sentinel","Sylphlands"
"sylvan scream","The Bramble Patch"
"sylvan screech","Larkscall"
"sylvan sigh","Larkscall"
"sylvan sough","The Bramble Patch;South Shroud"
"Symond the Unsinkable","Pharos Sirius (Zone)"
"syricta","Mourn"
"syrphid cloud","Black Brush;Spirithold;Blind Iron Mines;Drybone;Everschade;Lifemend Stump;Jadeite Thick"
"Tadric the Vainglorious","The Dancing Plague (Zone)"
"tail of the adjudicator","The Sunken Temple of Qarn (Hard) (Zone)"
"tainted earth sprite","Treespeak Stables;Bentbranch Meadows;Upper Paths;Silent Arbor"
"tainted eye","Halatali (Hard) (Zone)"
"tainted louse","The Thousand Maws of Toto-Rak"
"tainted mold","The Lost City of Amdapor (Zone)"
"tainted water sprite","The Hedgetree (East Shroud);Lilystone"
"tainted wind sprite","Jadeite Thick;The Honey Yard"
"talking colibri","Bloodshore"
"Tall Mountain","Loch Seld"
"Tamamo Gozen","Valley of the Fallen Rainbow;Yanxia"
"tamed bifericeras","Pleroma"
"tamed cauahepya","Leynode Nine"
"tamed dodo","Western La Noscea"
"tamed hropken","Pleroma"
"tamed jackal","Western La Noscea"
"tamed leech","Pleroma"
"tamed polar bear","Gorgagne Mills"
"tamed puk","Western La Noscea"
"tamed spriggan","Western Thanalan"
"tamed warbear","Gorgagne Mills"
"tamed woolback","Leynode Nine"
"Tangata","Hall of the Bestiarii"
"tangie","Newvoid"
"tangled narbrooi","Saint Mocianne's Arboretum"
"taoquan","Castrum Fluminis (Landmark)"
"Tarasque","Avalonia Fallen"
"Tarchia","Amh Araeng"
"tarichuk","The Blind Forest of Yx'Maja"
"tatsunoko","Sakazuki"
"Taulurd","Feasting Hall"
"taurus","The Ogre's Belly"
"taurus minion","Haukke Manor (Hard) (Zone)"
"Tcaridyi","The Makers' Quarter"
"tear","East Flamerock"
"tegu","The Dewspun Bank"
"teleoceras","Virdjala"
"Teles","The Orchard"
"Tellus","The Firkins"
"telobrobinyak","Paglth'an (Zone)"
"telocanis","Magna Glacies"
"teloclaw","Paglth'an (Zone)"
"telodragonet","Paglth'an (Zone)"
"telotek armored weapon","Carteneau Flats: Borderland Ruins"
"telotek colossus","Carteneau Flats: Borderland Ruins"
"telotek Gamma","Carteneau Flats: Borderland Ruins"
"telotek gunship","Carteneau Flats: Borderland Ruins"
"telotek hexadrone","Magna Glacies"
"telotek predator","Paglth'an (Zone);Carteneau Flats: Borderland Ruins;Magna Glacies"
"telotek sky armor","Paglth'an (Zone);Carteneau Flats: Borderland Ruins;Magna Glacies"
"telotek vanguard","Paglth'an (Zone);Magna Glacies"
"telotulihand","Paglth'an (Zone)"
"telovouivre","Paglth'an (Zone)"
"tempered champion","Zanr'ak"
"tempered gladiator","Zanr'ak;Circle of the Tempered"
"tempered sylph","The Bramble Patch"
"tempered sylvan scream","Nine Ivies"
"tempered sylvan sough","Nine Ivies"
"tempered virtue","Scree"
"tempest biast","Brayflox's Longstop"
"Tempest swallow","The Norvrandt Slope"
"temple bat","The Sunken Temple of Qarn"
"temple bee","The Sunken Temple of Qarn"
"temple coeurl","The Temple of the Fist (Zone)"
"temple croc","The Sunken Temple of Qarn"
"temple doblyn","The Temple of the Fist (Zone)"
"temple fox","The Sunken Temple of Qarn (Hard) (Zone)"
"temple guardian","The Adytum of Lalafuto IV"
"temple mite","The Sunken Temple of Qarn (Hard) (Zone)"
"temple mossling","The Temple of the Fist (Zone)"
"temple mummy","The Sunken Temple of Qarn (Hard) (Zone)"
"temple pup","The Temple of the Fist (Zone)"
"tengu ember","The Heart of the Dragon"
"ten-no-shiki","The Wreath of Snakes (Zone)"
"tentacle","Hullbreaker Isle;Sastasha (Hard)"
"teratotaur","The Oratory of Tatamefu II"
"teredo moth","Forward Port Ventilator"
"teredo worm","Forward Port Ventilator"
"Terminus beholder","Regio Urbanissima;Connecting Corridor"
"Terminus bellwether","Thus did the second doom break us.;The Shroud of the Samgha;Purusa;Martial Conditioning"
"Terminus crier","And lo, vile beasts did rise,"
"Terminus detonator","And lo, vile beasts did rise,;Martial Conditioning"
"Terminus drainer","Yet it was neither claw nor flame, but our very sins"
"Terminus Est","Magitek Lift"
"Terminus flesher","It would not, however, prove the last.;Connecting Corridor"
"Terminus howler","It would not, however, prove the last.;The Shroud of the Samgha"
"Terminus lacerator","Yet it was neither claw nor flame, but our very sins;Martial Conditioning"
"Terminus moaner","The Iron Womb"
"Terminus pursuer","And lo, vile beasts did rise,;The Shroud of the Samgha;Ksiroda"
"Terminus reaper","Yet it was neither claw nor flame, but our very sins"
"Terminus roiler","Leaving naught in their wake but blood and ash."
"Terminus shadower","It would not, however, prove the last.;The Shroud of the Samgha"
"Terminus shriver","It would not, however, prove the last.;Regio Domorum;Connecting Corridor;Martial Conditioning"
"Terminus snatcher","The Wakeful Torana;Purusa"
"Terminus sprinter","And lo, vile beasts did rise,;Connecting Corridor;Martial Conditioning"
"Terminus stalker","And lo, vile beasts did rise,;The Shroud of the Samgha;Purusa;The Iron Womb"
"Terminus trampler","Martial Conditioning"
"Terminus twitcher","Yet it was neither claw nor flame, but our very sins;Regio Urbanissima;Connecting Corridor;Martial Conditioning"
"Terminus vanquisher","Yet it was neither claw nor flame, but our very sins"
"Terminus wrecker","The Shroud of the Samgha;Purusa"
"territorial abyss","Ultima Thule"
"territorial aevis","Boulder Downs"
"territorial ahriman","Hammerlea;Horizon's Edge;The Footfalls;Spineless Basin;The Clutch;Black Brush;Drybone;Sandgate;Zanr'ak;Sagolii Desert;Bluefog;Raubahn's Push;Raincatcher Gully;Halfstone;The Standing Corses"
"territorial almasty","Garlemald"
"territorial amphiptere","The Smoldering Wastes;Avalonia Fallen;Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"territorial antling princess","Hammerlea;Horizon's Edge;The Footfalls;Spineless Basin;The Clutch;Black Brush;Drybone;Sandgate;Zanr'ak;Sagolii Desert;Bluefog;Raubahn's Push"
"territorial antling sentry","Hammerlea;Horizon's Edge;The Footfalls;Spineless Basin;The Clutch;Black Brush;Drybone;Sandgate;Zanr'ak;Sagolii Desert;Bluefog;Raubahn's Push"
"territorial asvattha","Thavnair"
"territorial aurelia","The Gods' Grip"
"territorial axe beak","The Footfalls"
"territorial banemite","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"territorial baritine croc","Providence Point;Whitebrim"
"territorial belladonna","Mount Yorn;The High Bank"
"territorial berkanan","Labyrinthos"
"territorial bhujamga","Thavnair"
"territorial bi fang","Rasen Kaikyo;Valley of the Fallen Rainbow"
"territorial biast","Boulder Downs"
"territorial bifericeras","The Churning Mists;The Dravanian Hinterlands;The Sea of Clouds"
"territorial bird of Elpis","Philomythes Notos"
"territorial bogy","Raincatcher Gully;Halfstone;The Standing Corses"
"territorial brobinyak","Ultima Thule"
"territorial cactuar","The Burning Wall"
"territorial caribou","Labyrinthos"
"territorial ceruleum zoblyn","Garlemald"
"territorial chamrosh","The Perfumed Rise"
"territorial cobra","Bloodshore;The Bramble Patch;Black Brush;The Long Climb;Boulder Downs"
"territorial cockatrice","Providence Point;Whitebrim"
"territorial coeurl","Skull Valley;Horizon's Edge"
"territorial coeurl pup","Skull Valley;Horizon's Edge"
"territorial condor","Providence Point;Whitebrim"
"territorial cryoconite","Labyrinthos"
"territorial cyclops","Fogfens"
"territorial daphnia","Southern Mare Lamentorum"
"territorial deathgaze","Boulder Downs;Bentbranch"
"territorial devilet","Boulder Downs;Bentbranch"
"territorial diresaur","Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"territorial djigga","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"territorial dodo","Providence Point;Whitebrim"
"territorial dragonfly","Boulder Downs"
"territorial drake","Bloodshore;The Bramble Patch"
"territorial dullahan","Nine Ivies"
"territorial Eblan bear","Garlemald"
"territorial echo","The Citia Swamps"
"territorial elder syricta","Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"territorial floating eye","Fogfens"
"territorial flowertender","The Burning Wall"
"territorial fluturini","Mount Yorn;The High Bank"
"territorial flytrap","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"territorial frost grenade","Riversmeet;Twinpools;Banepool;Red Rim;The Bed of Bones"
"territorial gaja","Thavnair"
"territorial gallimimus","The Smoldering Wastes;Avalonia Fallen;Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"territorial gargoyle","Boulder Downs;Bentbranch"
"territorial gazellehawk","Mount Yorn;The High Bank"
"territorial gelato","Twinpools"
"territorial gigantoad","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake;Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs;North Silvertear"
"territorial Greatwood rail","The Citia Swamps"
"territorial griffin","Sea of Clouds"
"territorial hamsa","Thavnair"
"territorial harpeia","The Gauntlet;Coldwind;The Blue Window;Ok' Vundu Vana;The Cromlech;Last Step;Cloudtop"
"territorial harpuia","Philomythes Notos"
"territorial hippe","Philomythes Notos"
"territorial hornbill","Rasen Kaikyo;Valley of the Fallen Rainbow"
"territorial hound","Broken Water"
"territorial irismoth","Il Mheg"
"territorial jackal","Broken Water"
"territorial jotunn","Garlemald"
"territorial kalong","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake"
"territorial karakul","Providence Point;Whitebrim"
"territorial ked","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"territorial korrigan","The Gauntlet;Coldwind;The Blue Window;Ok' Vundu Vana;The Cromlech;Last Step;Cloudtop"
"territorial lemur","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"territorial lily bulb","Proud Creek"
"territorial limascabra","Labyrinthos"
"territorial lindwurm","Nine Ivies"
"territorial luncheon toad","Labyrinthos"
"territorial mandragora","The Gods' Grip;The Gauntlet;Coldwind;The Blue Window;Ok' Vundu Vana;The Cromlech;Last Step;Cloudtop"
"territorial marmot","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake"
"territorial megalocrab","The Gods' Grip"
"territorial miacid","The Smoldering Wastes"
"territorial morbol","Bentbranch;Fogfens"
"territorial morbol seedling","Bentbranch;Fogfens"
"territorial morozko","Garlemald"
"territorial muu shuwuu","Rasen Kaikyo;Valley of the Fallen Rainbow"
"territorial mylodon","Riversmeet;Twinpools;Banepool;Red Rim;The Bed of Bones"
"territorial narbrooi","The Dravanian Forelands;The Churning Mists;The Dravanian Hinterlands"
"territorial ochu","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"territorial other","Ultima Thule"
"territorial ovibos","Garlemald"
"territorial pelican","Bronze Lake"
"territorial pephredo","Labyrinthos"
"territorial phurble","The Burning Wall;Castrum Centri"
"territorial polar bear","Riversmeet;Twinpools;Banepool;Red Rim;The Bed of Bones"
"territorial pudding","Hammerlea;Horizon's Edge;The Footfalls;Spineless Basin;The Clutch;Black Brush;Drybone;Sandgate;Zanr'ak;Sagolii Desert;Bluefog;Raubahn's Push"
"territorial pugil","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake"
"territorial puk","Bloodshore;The Bramble Patch"
"territorial raptor","Bronze Lake"
"territorial ratel","The Smoldering Wastes"
"territorial regolith","Southern Mare Lamentorum"
"territorial revenant","Hammerlea;Horizon's Edge;The Footfalls;Spineless Basin;The Clutch;Black Brush;Drybone;Sandgate;Zanr'ak;Sagolii Desert;Bluefog;Raubahn's Push;Raincatcher Gully;Halfstone;The Standing Corses"
"territorial rime tursus","Garlemald"
"territorial Ronkan doll","The Citia Swamps"
"territorial Ronkan vessel","The Citia Swamps"
"territorial rose","Garlemald"
"territorial roselet","Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs"
"territorial sabotender","The Burning Wall"
"territorial salamander","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake;Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs;North Silvertear"
"territorial sandworm","Drybone"
"territorial sanguiptere","The Smoldering Wastes;Avalonia Fallen;Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"territorial sankchinni","The Dravanian Forelands;The Churning Mists;The Dravanian Hinterlands"
"territorial sea wasp","Middle La Noscea"
"territorial shelled dragon","Ostrakon Deka-okto;Ultima Thule"
"territorial slug","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake;Bentbranch;Greentear;Sorrel Haven;The Honey Yard;The Bramble Patch;Larkscall;Upper Paths;Rootslake;Silent Arbor;Proud Creek;Alder Springs;North Silvertear"
"territorial snapweed","Labyrinthos"
"territorial snipper","Western La Noscea;Middle La Noscea"
"territorial sprite","Fogfens;North Silvertear"
"territorial stag","Nine Ivies"
"territorial stellar amphiptere","Ultima Thule"
"territorial stellar dragonfly","Ultima Thule"
"territorial stoneshell","Western La Noscea;Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake"
"territorial sun bear","The Smoldering Wastes"
"territorial sweeper","Southern Mare Lamentorum"
"territorial swine","The Citia Swamps"
"territorial syricta","Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"territorial syrphid cloud","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake"
"territorial tiger","The Smoldering Wastes"
"territorial trimmer","Southern Mare Lamentorum"
"territorial troll","Labyrinthos"
"territorial uragnite","Agelyss River;Zephyr Drift;The Eyes;Cedarwood;The Gods' Grip;Raincatcher Gully;Bloodshore;Quarterstone;Halfstone;The Isles of Umbra;Oakwood;Bronze Lake;The Long Climb;Iron Lake"
"territorial vodoriga","Black Brush;The Long Climb;Boulder Downs"
"territorial vouivre","The Smoldering Wastes;Avalonia Fallen;Landlord Colony;Ohl Tahn;Four Arms;Greensward;Sohm Al Summit"
"territorial vulture","The Long Climb;Alder Springs;Dragonhead"
"territorial wamouracampa","Bloodshore;Sagolii Desert;North Silvertear"
"territorial wanderer","Southern Mare Lamentorum"
"territorial weeper","Southern Mare Lamentorum"
"territorial wolf","Broken Water"
"territorial yeti","Riversmeet;Twinpools;Banepool;Red Rim;The Bed of Bones"
"territorial yetitrap","Riversmeet;Twinpools;Banepool;Red Rim;The Bed of Bones"
"territorial yggdreant","Philomythes Notos"
"territorial young coeurl","Skull Valley;Horizon's Edge;Fogfens;North Silvertear"
"territorial ziz","The Footfalls"
"territorial zu cockerel","Sagolii Desert;The Honey Yard;Cedarwood"
"territorial zu pullet","Sagolii Desert;The Honey Yard;Cedarwood"
"testy tatsunoko","Sakazuki"
"tetchy tatsunoko","Rasen Kaikyo"
"Thanatos","Hall of the Deviant"
"Thavnairian jhammel","The Perfumed Rise"
"Thavnairian mite","The Gods' Grip"
"Thavnairian miteling","The Gods' Grip"
"Thavnairian tortoise","Saint Mocianne's Arboretum"
"the accused","The Sunken Temple of Qarn"
"the Avatar","Central Bow"
"the Beholder","Riversmeet"
"the Black Rider","Floor 60 (Palace of the Dead)"
"the blood of Meracydia","The Burning Heart"
"the Compound","Bridge"
"the condemned","The Sunken Temple of Qarn"
"the Curator","Reality Augmentation Bay"
"the Defoliator","Flurry"
"the Emperor of Anemos","The Orchard"
"the Everliving Bibliotaph","Rhapsodies Quadrangle"
"the First Beast","Thus did the first doom befall us."
"the Forefather","Blue Sky"
"the Forlorn","The Fringes;The Peaks;The Lochs;The Ruby Sea;The Azim Steppe;Yanxia;Lakeland;Amh Araeng;Kholusia;Il Mheg;The Rak'tika Greatwood;The Tempest;Labyrinthos;Thavnair;Garlemald;Mare Lamentorum;Elpis;Ultima Thule"
"the Garlok","Eastern La Noscea"
"the general's might","Soul of the Creator;Entropy"
"the general's time","Soul of the Creator;Entropy"
"the general's wing","Soul of the Creator;Entropy"
"the Godmother","Floor 90 (Palace of the Dead)"
"the Governor","Warden's Delight"
"the Groveller","Warden's Delight"
"the gust of Meracydia","The Burning Heart"
"the Idol of Darkness","The Halo"
"the Indigo Beast","The Sultana's Lap"
"the Last Yak","Riversmeet"
"the Left Wing of Tragedy","Ceol Aen"
"the Lord of Anemos","The Val River Swale"
"the Mailed Man","Proud Creek"
"the Manipulator","The Burden of the Father"
"the mudman","Il Mheg"
"the Old One","A Door Unopened"
"the Pagan's Knot","Forward Port Ventilator"
"the Pagan's Vine","Forward Port Ventilator"
"the pain of Meracydia","The Burning Heart"
"the Pale Rider","The Dravanian Hinterlands"
"the Queen","Queensheart"
"the Right Wing of Injury","Ceol Aen"
"the Ruby Weapon","Cinder Drift (Zone)"
"the Sapphire Weapon","Terncliff Bay"
"the Scarecrow","The Churning Mists"
"the Scarlet Lector","Eil Tohm"
"the Scarlet Price","The Chancel"
"the scourge of Meracydia","The Right Hand of Bahamut"
"the shadow of Meracydia","The Burning Heart"
"the sin of Meracydia","The Burning Heart"
"the Sophist","Northeastern Ice Needles"
"the Storm","The Hall of the Griffin (Landmark)"
"the storm of Meracydia","The Burning Heart"
"the Swell","The Hall of the Griffin (Landmark)"
"the Thunder God","Realm of the Thunder God"
"the Ultima Weapon","Porta Decumana;Sky Level"
"the Way of the Blade","The Temple of the Fist (Zone)"
"the Way of the Fist","The Temple of the Fist (Zone)"
"the Way of the Lance","The Temple of the Fist (Zone)"
"the Weeping Willow","East Flamerock"
"the White Rider","The Val River Swale"
"Therion","Fading Hearth"
"Thextera","The Dravanian Forelands"
"thickfur doe","Silent Arbor"
"thickset tarichuk","Bowrest"
"thieving Namazu","The Glittering Basin"
"thieving torbalan","The Promenade"
"thievish imp","Chocobo Forest"
"thinker","Northern Mare Lamentorum"
"thirsting rail","Shadow Fault"
"thistle mole","The Central Hills of Amber"
"Thor the Lost","The East Val River Bank"
"thoughtless dragon","Four Arms"
"Thousand-cast Theda","North Shroud"
"thrall to pain","Witchdrop"
"throwing spear","The Rebirth of Bardam the Brave"
"thrustaevis","Camp Dragonhead;Whitebrim"
"Thuban","Landlord Colony;Ohl Tahn"
"thunder dragon","The Hundred Throes"
"thunder spirit","The Thunderyards;Everkeep Ward;Archeo Alexandria"
"thunderball","East Flamerock"
"thunderbolt sprite","Aery Exterior"
"thunderclap guivre","Hall of the Secutores"
"Thunderhooves","The Gods' Grip"
